,Advanced International Hospital-Start Locat,J Salak Colony,G-8/1,G-8/2,G-8/3,G-8/4,Diamond Cricket Ground,National Institute of Rehabilitation,PIMS Hospital,Zimri Orthopedic Hospital,Islamabad Postgraduate College,Allama Iqbal Open University-Dump Locat
Advanced International Hospital-Start Locat,0,10,13,13,32,14,18,15,24,13,51,85
J Salak Colony,12,0,14,12,39,23,17,14,30,17,83,87
G-8/1,14,15,0,22,44,22,27,24,35,9,79,83
G-8/2,13,11,21,0,33,24,7,6,24,24,51,93
G-8/3,31,37,42,32,0,30,27,7,1,8,10,10
G-8/4,6,9,7,9,9,0,7,9,9,5,5,6
Diamond Cricket Ground,6,4,7,5,7,8,0,2,8,6,7,6
National Institute of Rehabilitation,6,4,7,5,8,8,4,0,8,6,7,7
PIMS Hospital,6,7,8,6,3,8,4,6,0,7,9,9
Zimri Orthopedic Hospital,5,5,3,6,8,4,7,7,9,0,5,6
Islamabad Postgraduate College,8,8,6,8,10,7,8,9,11,5,0,2
Allama Iqbal Open University-Dump Locat,8,8,6,9,11,7,8,9,11,5,2,0
