,ARIF JAVED RAO PARK-Start Locat,E-11/1,E-11/2,E-11/3,Anabia's Garden,FECHS,Dream Inn Guest House ,E-12,Shifa Health Care Hospital,D-12/1,D-12/2,Punjab Saro Mustard Oil-Dump Locat
ARIF JAVED RAO PARK-Start Locat,0,9,4,2,4,7,4,13,8,8,9,10
E-11/1,8,0,5,7,10,5,8,6,14,15,16,17
E-11/2,6,5,0,5,2,1,6,9,5,6,7,8
E-11/3,3,7,4,0,3,5,2,11,7,8,9,10
Anabia's Garden,6,12,5,7,0,10,7,15,4,5,6,7
FECHS,6,4,1,4,6,0,5,9,11,11,12,13
Dream Inn Guest House ,3,5,3,2,5,3,0,9,9,10,11,12
E-12,11,5,8,11,13,8,11,0,17,18,19,19
Shifa Health Care Hospital,8,14,7,9,5,12,9,18,0,3,4,4
D-12/1,9,14,8,10,6,13,10,18,3,0,3,4
D-12/2,10,15,9,10,6,13,10,19,5,3,0,3
Punjab Saro Mustard Oil-Dump Locat,11,17,10,13,8,15,12,20,4,5,3,0
